题目1: 817.0÷344.0+544.0=
题目87: 530.0+156.0-667.0=
题目88: 398.0×423.0=
题目89: 596.0-437.0=
题目90: 501.0+525.0-526.0=
题目91: 924.0-374.0-353.0=
题目92: 333.0×418.0+742.0=
题目93: 88.0÷283.0=
题目94: 695.0-218.0=
题目95: 516.0×680.0=
题目96: 60.0×543.0=
题目97: 361.0-54.0=
题目98: 54.0+522.0+34.0=
题目99: 668.0-473.0=
题目100: 275.0÷148.0=
题目101: 111.0×617.0=
题目102: 589.0÷856.0+710.0=
题目103: 827.0÷811.0+167.0=
题目104: 512.0÷750.0=
题目105: 989.0×193.0=
题目106: 32.0+527.0÷151.0×494.0=
题目107: 392.0÷511.0÷898.0=
题目108: 197.0-68.0=
题目109: 366.0+327.0=
题目110: 392.0÷924.0+524.0=
题目111: 852.0-414.0+626.0=
题目112: 330.0×185.0+951.0=
题目113: 411.0÷664.0=
题目114: 401.0×40.0×401.0=
题目115: 845.0×34.0+173.0=
题目116: (634.0-393.0)÷503.0=
题目117: 618.0+635.0=
题目118: 562.0-532.0=
题目119: 764.0÷969.0+712.0=
题目120: 935.0×24.0=
题目121: 866.0-818.0=
题目122: 563.0×693.0÷239.0=
题目123: 976.0-503.0+642.0=
题目124: (960.0-501.0)÷310.0=
题目125: 773.0-253.0=
题目126: 557.0÷479.0+426.0=
题目127: 784.0÷641.0=
题目128: 818.0÷428.0=
题目129: (758.0-632.0)÷856.0=
题目130: 719.0×406.0=
题目131: (183.0-61.0)÷834.0=
题目132: 911.0×793.0÷864.0=
题目133: 541.0+286.0-608.0=
题目134: 825.0-213.0=
题目135: 99.0×808.0+1000.0=
题目136: 172.0+886.0=
题目137: (963.0-609.0)÷950.0=
题目138: 707.0÷136.0=
题目139: 742.0+792.0=
题目140: 73.0×552.0+691.0=
题目141: 28.0÷700.0÷419.0=
题目142: 775.0+569.0=
题目143: 226.0×342.0÷544.0=
题目144: 415.0-6.0=
题目145: 766.0×30.0÷368.0=
题目146: 903.0÷728.0=
题目147: 550.0×339.0÷818.0=
题目148: 449.0÷762.0+771.0=
题目149: 151.0+708.0×433.0=
题目150: 852.0×376.0=
题目151: 84.0÷311.0÷50.0=
题目152: 286.0÷399.0+804.0=
题目153: 302.0+40.0+417.0=
题目154: 334.0×776.0+334.0=
题目155: 795.0-759.0=
题目156: 973.0÷473.0=
题目157: 102.0-75.0=
题目158: 976.0-159.0=
题目159: 170.0÷184.0=
题目160: 295.0+412.0=
题目161: 501.0+714.0×630.0=
题目162: (874.0-363.0)×14.0=
题目163: 127.0×728.0=
题目164: 588.0×534.0=
题目165: 94.0×28.0=
题目166: 572.0÷496.0×254.0=
题目167: 433.0+38.0=
题目168: 701.0-355.0=
题目169: 569.0-61.0=
题目170: 492.0+779.0-21.0=
题目171: 177.0÷303.0+29.0=
题目172: 539.0×889.0=
题目173: 150.0÷124.0×152.0=
题目174: 320.0×69.0+395.0=
题目175: 812.0-255.0=
题目176: 488.0+440.0=
题目177: 424.0×355.0=
题目178: 274.0+850.0+693.0=
题目179: 915.0×149.0=
题目180: 621.0+982.0×908.0=
题目181: 844.0×171.0=
题目182: 530.0×280.0÷706.0=
题目183: 526.0÷428.0×418.0=
题目184: 514.0+667.0÷762.0×798.0=
题目185: 321.0+692.0-749.0=
题目186: 655.0÷954.0=
题目187: 668.0×973.0+925.0=
题目188: 709.0+497.0÷779.0=
题目189: 576.0×364.0+238.0=
题目190: 86.0+127.0=
题目191: 700.0-516.0=
题目192: 503.0+498.0=
题目193: 895.0-355.0+152.0=
题目194: 37.0+943.0+634.0=
题目195: 691.0×747.0÷332.0=
题目196: 218.0÷841.0=
题目197: 583.0+335.0×199.0=
题目198: 197.0÷348.0÷945.0=
题目199: 436.0+330.0=
题目200: 843.0-324.0=
题目201: 619.0+710.0-532.0=
题目202: 913.0×972.0=
题目203: 504.0÷823.0÷566.0=
题目204: 634.0÷497.0×319.0=
题目205: 475.0×1000.0=
题目206: 540.0×909.0÷455.0=
题目207: 263.0÷730.0÷144.0=
题目208: (943.0-638.0)×964.0=
题目209: 327.0+546.0÷785.0=
题目210: 233.0÷843.0÷706.0=
题目211: 689.0×901.0+310.0=
题目212: 239.0+458.0+439.0+944.0=
题目213: (917.0-518.0)÷903.0=
题目214: 5.0+799.0=
题目215: 484.0-97.0=
题目216: 128.0×94.0=
题目217: 988.0+139.0-298.0+5.0=
题目218: (754.0-297.0)÷314.0=
题目219: 184.0+95.0×896.0=
题目220: 74.0+473.0=
题目221: 499.0+325.0=
题目222: 218.0+733.0×853.0=
题目223: 327.0÷462.0=
题目224: 500.0-62.0+634.0=
题目225: 986.0+154.0×948.0=
题目226: 721.0+941.0+949.0=
题目227: 920.0÷464.0=
题目228: 280.0×52.0=
题目229: 255.0-53.0=
题目230: 345.0+372.0+264.0+955.0=
题目231: 750.0÷484.0+387.0=
题目232: (779.0-46.0)÷750.0=
题目233: 821.0+261.0÷988.0=
题目234: 951.0×758.0+102.0=
题目235: (528.0-105.0)÷145.0=
题目236: 21.0×727.0+797.0=
题目237: 987.0+514.0=
题目238: 806.0×602.0=
题目239: (716.0-515.0)×237.0=
题目240: 270.0-201.0+335.0=
题目241: 879.0÷206.0=
题目242: (896.0-297.0)÷362.0=
题目243: 349.0÷251.0×79.0=
题目244: 110.0-27.0=
题目245: 158.0×7.0÷74.0=
题目246: 372.0×835.0+25.0=
题目247: 945.0-811.0=
题目248: 208.0÷742.0=
题目249: 247.0÷927.0=
题目250: 448.0×524.0÷855.0=
题目251: 997.0+120.0=
题目252: 365.0+275.0×666.0+829.0=
题目253: (142.0-27.0)÷999.0=
题目254: 885.0-353.0=
题目255: (781.0-317.0)÷702.0=
题目256: 798.0-724.0=
题目257: 536.0÷813.0+470.0=
题目258: 352.0×164.0+785.0=
题目259: 967.0+55.0=
题目260: 904.0×932.0=
题目261: 629.0+623.0=
题目262: 290.0+109.0=
题目263: 647.0-535.0=
题目264: 838.0÷22.0×139.0=
题目265: 256.0-228.0=
题目266: 201.0×842.0=
题目267: 490.0×395.0=
题目268: 397.0+669.0×380.0+603.0=
题目269: 52.0÷659.0=
题目270: (919.0-303.0)×266.0=
题目271: 504.0÷329.0=
题目272: 942.0-445.0=
题目273: 553.0+754.0=
题目274: 346.0+786.0÷164.0×913.0=
题目275: 767.0×858.0=
题目276: 71.0÷491.0=
题目277: 143.0-39.0=
题目278: 374.0-191.0+895.0=
题目279: 367.0+382.0=
题目280: 116.0÷693.0=
题目281: 677.0×894.0=
题目282: 319.0÷608.0=
题目283: 295.0×74.0+414.0=
题目284: 170.0×861.0=
题目285: 479.0×273.0÷601.0=
题目286: 786.0÷715.0=
题目287: 483.0+903.0×614.0=
题目288: 534.0-287.0=
题目289: 978.0-561.0=
题目290: 620.0×74.0÷80.0=
题目291: 911.0÷757.0+435.0=
题目292: 345.0-109.0=
题目293: 828.0+384.0-658.0=
题目294: 900.0-443.0=
题目295: 90.0÷571.0=
题目296: 367.0×509.0=
题目297: 469.0-236.0=
题目298: 84.0÷559.0=
题目299: 732.0÷417.0=
题目300: 176.0+31.0+656.0=
题目301: 70.0÷872.0=
题目302: 256.0÷301.0=
题目303: 859.0÷418.0=
题目304: 753.0×824.0÷196.0=
题目305: 956.0-416.0=
题目306: 968.0-459.0=
题目307: 381.0÷315.0=
题目308: 317.0+519.0-411.0=
题目309: 978.0-339.0+947.0=
题目310: 601.0+687.0=
题目311: 557.0+478.0×642.0+160.0=
题目312: 255.0×41.0=
题目313: 431.0÷645.0÷135.0=
题目314: 857.0-3.0=
题目315: 719.0÷228.0=
题目316: 432.0+373.0×941.0=
题目317: 778.0×917.0+845.0=
题目318: 676.0-539.0=
题目319: 474.0+151.0-183.0=
题目320: 314.0×946.0=
题目321: 41.0÷137.0+600.0=
题目322: 728.0×34.0+208.0=
题目323: 530.0-48.0+144.0=
题目324: 129.0÷354.0=
题目325: 924.0+620.0=
题目326: 347.0÷40.0=
题目327: 333.0×329.0=
题目328: 243.0÷650.0=
题目329: 764.0-649.0=
题目330: 573.0÷44.0+488.0=
题目331: 806.0÷455.0÷869.0=
题目332: 829.0-312.0=
题目333: 11.0÷59.0=
题目334: 783.0-587.0=
题目335: 582.0-392.0+710.0=
题目336: 524.0÷173.0×816.0=
题目337: 389.0÷736.0+956.0=
题目338: 428.0÷749.0÷864.0=
题目339: 688.0+801.0+19.0=
题目340: 793.0+702.0+1000.0=
题目341: 375.0×39.0=
题目342: 349.0×376.0+321.0=
题目343: 456.0÷552.0÷199.0=
题目344: 210.0-205.0=
题目345: 505.0+807.0-212.0=
题目346: 557.0-265.0=
题目347: 513.0×765.0+405.0=
题目348: 593.0+373.0=
题目349: 765.0×137.0+725.0=
题目350: 958.0-237.0=
题目351: 780.0÷31.0×9.0=
题目352: 418.0÷84.0×679.0=
题目353: 460.0×198.0+997.0=
题目354: 459.0+659.0÷20.0-487.0=
题目355: 537.0+967.0=
题目356: 293.0×147.0+193.0=
题目357: (714.0-530.0)×964.0=
题目358: 160.0×191.0÷10.0=
题目359: 136.0+65.0=
题目360: 656.0×637.0=
题目361: 915.0-755.0=
题目362: 507.0×432.0=
题目363: (549.0-435.0)×662.0=
题目364: 128.0÷848.0×179.0=
题目365: 282.0÷797.0=
题目366: 953.0÷299.0=
题目367: 948.0+988.0=
题目368: 680.0-392.0+208.0=
题目369: 669.0+680.0=
题目370: 899.0÷851.0=
题目371: 839.0-641.0=
题目372: 773.0-718.0=
题目373: (760.0-30.0)×935.0=
题目374: (662.0-18.0)÷488.0=
题目375: 584.0÷521.0+194.0=
题目376: 937.0-897.0=
题目377: 984.0+73.0=
题目378: 834.0×175.0=
题目379: 721.0×76.0=
题目380: 245.0-360.0+281.0=
题目381: 857.0×995.0÷39.0=
题目382: 830.0+953.0+478.0=
题目383: 247.0÷217.0÷82.0=
题目384: 54.0+924.0÷27.0=
题目385: 478.0-380.0=
题目386: 333.0-52.0=
题目387: 111.0×633.0+639.0=
题目388: 498.0-93.0=
题目389: 910.0×127.0=
题目390: 927.0÷126.0=
题目391: 918.0+415.0-925.0=
题目392: 62.0÷270.0=
题目393: 388.0-280.0+90.0=
题目394: 871.0÷566.0÷81.0=
题目395: 64.0÷668.0×492.0=
题目396: 856.0+963.0-743.0=
题目397: 306.0-13.0=
题目398: 333.0×780.0+175.0=
题目399: 311.0+531.0=
题目400: 68.0×870.0÷740.0=
题目401: (661.0-367.0)×320.0=
题目402: 472.0+880.0÷129.0=
题目403: (849.0-805.0)×514.0=
题目404: 570.0+869.0÷953.0=
题目405: 901.0×993.0=
题目406: 504.0+720.0+384.0=
题目407: 731.0÷86.0=
题目408: 715.0×733.0=
题目409: 684.0×735.0=
题目410: 774.0÷27.0=
题目411: 922.0-267.0=
题目412: 624.0÷306.0+972.0=
题目413: 108.0×62.0+148.0=
题目414: 684.0-253.0=
题目415: 898.0-741.0=
题目416: (808.0-526.0)×76.0=
题目417: 95.0-31.0+320.0=
题目418: 513.0×346.0×327.0=
题目419: 771.0-461.0=
题目420: 885.0+595.0=
题目421: 513.0÷581.0÷189.0=
题目422: 601.0+496.0÷830.0+180.0=
题目423: 300.0+124.0=
题目424: 253.0×5.0+285.0=
题目425: 190.0÷392.0+84.0=
题目426: 147.0+460.0=
题目427: 554.0+632.0÷380.0=
题目428: 337.0-114.0=
题目429: 334.0÷253.0=
题目430: 578.0-347.0=
题目431: 100.0+469.0=
题目432: 449.0+13.0×990.0=
题目433: 538.0×124.0÷573.0=
题目434: (746.0-490.0)×552.0=
题目435: 174.0+832.0+923.0+217.0=
题目436: 393.0+877.0=
题目437: 219.0-201.0=
题目438: 256.0×750.0=
题目439: 715.0÷923.0=
题目440: 803.0-225.0=
题目441: 596.0×462.0=
题目442: 327.0÷770.0÷970.0=
题目443: 272.0×752.0+350.0=
题目444: 681.0+147.0=
题目445: 68.0×165.0÷81.0=
题目446: 609.0×111.0÷758.0=
题目447: 548.0×585.0+768.0=
题目448: 962.0+111.0÷965.0+560.0=
题目449: 466.0+782.0÷749.0=
题目450: 835.0÷846.0=
题目451: 483.0-87.0+318.0=
题目452: 785.0÷825.0=
题目453: 492.0×882.0+21.0=
题目454: 980.0-944.0=
题目455: 71.0÷240.0+162.0=
题目456: 63.0÷770.0=
题目457: 76.0÷468.0=
题目458: 104.0+693.0-3.0=
题目459: (915.0-356.0)÷34.0=
题目460: 72.0+90.0+273.0=
题目461: 487.0+235.0÷994.0=
题目462: 233.0×673.0=
题目463: 517.0+926.0÷834.0+648.0=
题目464: 320.0×305.0=
题目465: 133.0+104.0÷797.0=
题目466: 461.0+909.0=
题目467: 898.0+771.0-413.0=
题目468: 685.0÷228.0=
题目469: 542.0÷666.0=
题目470: 998.0+155.0×761.0+571.0=
题目471: 254.0×795.0=
题目472: 458.0×900.0=
题目473: 982.0÷742.0×934.0=
题目474: 253.0×654.0=
题目475: (302.0-291.0)÷253.0=
题目476: 484.0-329.0=
题目477: 119.0×15.0=
题目478: 359.0-124.0=
题目479: 69.0÷134.0÷134.0=
题目480: 136.0×906.0=
题目481: 621.0-478.0=
题目482: 887.0-385.0=
题目483: (728.0-612.0)×3.0=
题目484: 387.0+721.0+550.0=
题目485: 965.0+932.0=
题目486: 899.0+388.0÷769.0×325.0=
题目487: 413.0+365.0=
题目488: 263.0÷997.0=
题目489: 374.0+906.0×981.0+520.0=
题目490: 288.0÷870.0=
题目491: 884.0÷968.0=
题目492: (513.0-490.0)÷151.0=
题目493: 658.0÷66.0=
题目494: 902.0÷818.0÷96.0=
题目495: 14.0÷286.0÷397.0=
题目496: 648.0×878.0=
题目497: 180.0÷186.0=
题目498: 312.0+156.0=
题目499: 334.0×80.0=
题目500: 563.0÷681.0÷772.0=
题目501: 150.0×515.0×655.0=
题目502: 549.0+450.0-150.0=
题目503: 869.0-75.0+434.0=
题目504: 51.0×686.0=
题目505: 783.0-200.0=
题目506: 567.0-418.0=
题目507: 741.0+784.0-665.0=
题目508: 2.0×287.0÷679.0=
题目509: 286.0÷917.0=
题目510: 411.0×879.0×699.0=
题目511: 616.0+136.0=
题目512: 746.0÷951.0=
题目513: 361.0×576.0÷317.0=
题目514: 747.0÷759.0÷428.0=
题目515: 496.0×805.0÷542.0=
题目516: 729.0-185.0=
题目517: 666.0÷700.0=
题目518: 44.0×938.0+30.0=
题目519: 180.0÷6.0×850.0=
题目520: 961.0-477.0+39.0=
题目521: 1000.0+22.0=
题目522: 474.0+184.0×88.0=
题目523: 446.0×626.0+882.0=
题目524: 41.0÷595.0×14.0=
题目525: 232.0÷303.0÷823.0=
题目526: 588.0÷666.0=
题目527: 793.0×733.0=
题目528: 150.0÷863.0=
题目529: 658.0+433.0=
题目530: 484.0×50.0=
题目531: 319.0+41.0=
题目532: (944.0-587.0)×447.0=
题目533: 1.0+725.0-712.0=
题目534: 53.0÷661.0=
题目535: 359.0-232.0=
题目536: 344.0×398.0+161.0=
题目537: 526.0×873.0÷67.0=
题目538: 659.0+408.0=
题目539: 492.0+290.0×8.0=
题目540: 307.0÷398.0+719.0=
题目541: (761.0-516.0)×438.0=
题目542: (324.0-216.0)÷445.0=
题目543: 16.0+716.0+207.0=
题目544: 388.0×445.0=
题目545: 410.0÷807.0×672.0=
题目546: 148.0÷299.0=
题目547: 215.0+915.0-508.0=
题目548: 948.0-910.0=
题目549: 795.0+10.0+16.0=
题目550: (990.0-635.0)÷17.0=
题目551: 87.0+191.0+325.0=
题目552: 423.0+760.0=
题目553: 521.0+374.0=
题目554: 977.0+180.0=
题目555: 263.0+104.0+946.0+933.0=
题目556: 15.0×400.0=
题目557: 197.0×134.0=
题目558: 742.0-178.0=
题目559: 301.0+113.0=
题目560: 473.0×930.0+316.0=
题目561: (287.0-55.0)×242.0=
题目562: (223.0-131.0)÷612.0=
题目563: (982.0-482.0)÷923.0=
题目564: 564.0×771.0=
题目565: 334.0×879.0÷744.0=
题目566: 610.0×185.0=
题目567: (949.0-879.0)×607.0=
题目568: 410.0+810.0+527.0=
题目569: 420.0÷977.0×763.0=
题目570: 629.0-424.0=
题目571: 545.0+55.0÷904.0=
题目572: 741.0-358.0=
题目573: 250.0+487.0÷250.0=
题目574: 484.0+994.0-69.0=
题目575: 386.0×499.0×308.0=
题目576: 109.0+103.0+964.0=
题目577: 546.0×457.0÷865.0=
题目578: 997.0÷601.0×909.0=
题目579: 907.0+165.0÷19.0=
题目580: (926.0-753.0)×208.0=
题目581: 273.0÷805.0=
题目582: (608.0-451.0)÷494.0=
题目583: 244.0-57.0=
题目584: 88.0÷850.0=
题目585: 195.0+860.0+570.0=
题目586: 975.0+520.0=
题目587: 904.0×690.0+157.0=
题目588: 553.0÷627.0÷31.0=
题目589: 138.0÷611.0=
题目590: 769.0+706.0=
题目591: 755.0-563.0=
题目592: 451.0-341.0=
题目593: (438.0-345.0)×745.0=
题目594: 350.0×94.0÷380.0=
题目595: 191.0+993.0÷290.0=
题目596: 396.0+709.0×934.0=
题目597: (827.0-533.0)×779.0=
题目598: 13.0+481.0-272.0=
题目599: 824.0+196.0=
题目600: 135.0÷288.0=
题目601: 466.0×936.0=
题目602: (598.0-202.0)×597.0=
题目603: 946.0+443.0=
题目604: 153.0+372.0=
题目605: 600.0×829.0=
题目606: 310.0÷244.0=
题目607: 649.0÷286.0=
题目608: 816.0-41.0=
题目609: (496.0-406.0)×187.0=
题目610: 273.0÷778.0+388.0=
题目611: 334.0×295.0×240.0=
题目612: 638.0+402.0÷123.0×142.0=
题目613: 125.0÷389.0÷356.0=
题目614: 666.0+288.0=
题目615: 447.0-428.0=
题目616: 557.0+724.0-820.0=
题目617: 174.0÷209.0=
题目618: 808.0÷757.0÷379.0=
题目619: 869.0÷235.0=
题目620: 444.0+381.0=
题目621: 615.0+45.0-554.0=
题目622: 275.0+930.0=
题目623: 598.0÷331.0÷842.0=
题目624: 971.0÷22.0=
题目625: 472.0×244.0×14.0=
题目626: 389.0×400.0=
题目627: 504.0+333.0=
题目628: 476.0÷354.0×654.0=
题目629: 319.0×449.0÷388.0=
题目630: 534.0×938.0+466.0=
题目631: 593.0-762.0+869.0=
题目632: 338.0×687.0=
题目633: 405.0+495.0÷473.0=
题目634: 211.0×649.0×374.0=
题目635: 153.0÷942.0=
题目636: 645.0+135.0-84.0=
题目637: 599.0-328.0=
题目638: 777.0+107.0+749.0=
题目639: 980.0+139.0=
题目640: 738.0×289.0=
题目641: (846.0-842.0)×337.0=
题目642: 438.0×704.0+274.0=
题目643: 182.0-100.0=
题目644: (668.0-82.0)×866.0=
题目645: 750.0÷776.0÷895.0=
题目646: 527.0×174.0+529.0=
题目647: 13.0+292.0=
题目648: 305.0×168.0×842.0=
题目649: 36.0÷33.0=
题目650: 914.0+677.0×765.0+299.0=
题目651: 577.0×424.0+985.0=
题目652: 132.0×163.0+986.0=
题目653: 156.0+470.0+421.0+140.0=
题目654: 53.0+323.0=
题目655: 104.0+790.0=
题目656: (445.0-268.0)×333.0=
题目657: 69.0÷7.0+495.0=
题目658: 500.0+538.0-203.0+801.0=
题目659: 205.0÷164.0=
题目660: 492.0×495.0=
题目661: 953.0+198.0×117.0=
题目662: 729.0+408.0×15.0=
题目663: 311.0-176.0=
题目664: 507.0÷812.0=
题目665: 350.0+154.0+250.0=
题目666: 769.0×257.0×977.0=
题目667: (555.0-293.0)÷431.0=
题目668: 598.0×701.0=
题目669: 350.0×266.0=
题目670: 647.0÷909.0+62.0=
题目671: 148.0+845.0=
题目672: 894.0×346.0÷308.0=
题目673: 456.0+146.0×430.0=
题目674: 830.0+612.0-86.0+642.0=
题目675: 694.0+26.0÷637.0=
题目676: 660.0+939.0+13.0=
题目677: 446.0×16.0×399.0=
题目678: 426.0+603.0=
题目679: 961.0-639.0=
题目680: 732.0÷335.0+887.0=
题目681: 652.0÷289.0=
题目682: 96.0-10.0=
题目683: 745.0+940.0-304.0+7.0=
题目684: 908.0+76.0=
题目685: 126.0÷629.0=
题目686: 47.0÷592.0+421.0=
题目687: 297.0+405.0=
题目688: 244.0+674.0-506.0=
题目689: 524.0-149.0=
题目690: (409.0-114.0)÷738.0=
题目691: 246.0+112.0×956.0+726.0=
题目692: (642.0-141.0)×954.0=
题目693: 704.0+16.0÷212.0=
题目694: 146.0+184.0+129.0+413.0=
题目695: 480.0÷271.0=
题目696: (973.0-792.0)×548.0=
题目697: 258.0÷630.0=
题目698: 964.0-322.0=
题目699: 912.0+711.0÷650.0×491.0=
题目700: (840.0-790.0)÷582.0=
题目701: 106.0÷595.0×531.0=
题目702: 438.0÷306.0+156.0=
题目703: 583.0×445.0+955.0=
题目704: 422.0-141.0=
题目705: 40.0÷582.0=
题目706: 412.0-476.0+508.0=
题目707: 454.0-286.0=
题目708: 193.0×588.0=
题目709: 901.0-283.0=
题目710: 658.0+175.0+876.0=
题目711: 100.0-118.0+769.0=
题目712: 186.0×936.0+351.0=
题目713: 368.0-139.0=
题目714: 119.0+174.0-236.0=
题目715: 956.0-773.0+848.0=
题目716: 631.0+978.0-938.0+942.0=
题目717: 37.0+15.0×65.0+821.0=
题目718: 798.0+256.0=
题目719: 188.0+388.0×71.0=
题目720: 433.0+921.0+80.0=
题目721: 931.0+257.0+524.0=
题目722: 173.0×747.0=
题目723: 310.0+380.0=
题目724: 918.0-260.0=
题目725: 892.0+10.0=
题目726: 81.0×664.0+387.0=
题目727: 566.0-201.0+520.0=
题目728: 783.0×602.0×44.0=
题目729: 532.0+689.0=
题目730: 666.0+320.0-71.0+155.0=
题目731: (459.0-380.0)×777.0=
题目732: 796.0÷103.0+694.0=
题目733: 753.0-751.0=
题目734: 333.0÷104.0+555.0=
题目735: 446.0×464.0×124.0=
题目736: 84.0+223.0-55.0=
题目737: 585.0÷581.0=
题目738: 317.0+972.0=
题目739: (474.0-129.0)×260.0=
题目740: 270.0÷87.0×593.0=
题目741: 330.0÷23.0÷748.0=
题目742: 293.0×806.0=
题目743: 931.0×33.0=
题目744: 307.0+734.0-68.0=
题目745: 769.0÷598.0=
题目746: 269.0+558.0=
题目747: 821.0-655.0=
题目748: 337.0÷131.0÷764.0=
题目749: 498.0+911.0-52.0=
题目750: 873.0+6.0÷604.0+254.0=
题目751: 66.0+962.0×375.0=
题目752: 511.0-294.0=
题目753: 809.0÷662.0÷14.0=
题目754: 308.0+865.0=
题目755: 728.0×369.0=
题目756: 186.0+13.0=
题目757: 636.0+591.0=
题目758: (234.0-28.0)÷238.0=
题目759: 861.0÷738.0÷741.0=
题目760: 898.0÷584.0=
题目761: 237.0÷735.0=
题目762: 300.0-217.0=
题目763: 796.0+115.0×81.0+285.0=
题目764: 131.0+432.0÷541.0×249.0=
题目765: 730.0+7.0=
题目766: 851.0+695.0×630.0=
题目767: 508.0×694.0=
题目768: 71.0-523.0+513.0=
题目769: 105.0+852.0÷787.0=
题目770: 785.0×266.0+866.0=
题目771: 441.0×910.0÷365.0=
题目772: 558.0×112.0=
题目773: 801.0+222.0×223.0=
题目774: 459.0-20.0+169.0=
题目775: 321.0+651.0=
题目776: 108.0+589.0=
题目777: 114.0+407.0=
题目778: 279.0÷934.0=
题目779: 840.0÷550.0×70.0=
题目780: 850.0+757.0-447.0=
题目781: 902.0+574.0-449.0=
题目782: 617.0×70.0÷748.0=
题目783: 917.0×452.0=
题目784: 167.0÷760.0=
题目785: (748.0-357.0)×952.0=
题目786: 412.0×210.0+12.0=
题目787: 612.0÷760.0=
题目788: 321.0+382.0-14.0=
题目789: 963.0+711.0=
题目790: 931.0+258.0=
题目791: (825.0-220.0)÷467.0=
题目792: 249.0×202.0+743.0=
题目793: 74.0×890.0+957.0=
题目794: 609.0+807.0÷203.0=
题目795: 146.0+306.0=
题目796: 439.0×509.0+272.0=
题目797: 878.0+154.0=
题目798: (805.0-438.0)÷87.0=
题目799: 417.0+853.0=
题目800: 580.0×921.0+435.0=
题目801: 997.0-507.0+8.0=
题目802: 234.0÷352.0=
题目803: 241.0÷773.0=
题目804: 426.0×545.0=
题目805: 705.0÷280.0×987.0=
题目806: 722.0÷240.0÷647.0=
题目807: 183.0×823.0+35.0=
题目808: 648.0-284.0=
题目809: 407.0÷133.0=
题目810: 174.0÷73.0×939.0=
题目811: 570.0+263.0=
题目812: 106.0×771.0+66.0=
题目813: 832.0+635.0÷499.0=
题目814: 840.0÷135.0=
题目815: 393.0-244.0=
题目816: 12.0×507.0÷210.0=
题目817: 710.0÷531.0×504.0=
题目818: 427.0÷473.0=
题目819: 949.0+749.0=
题目820: 547.0-537.0=
题目821: 860.0÷326.0÷821.0=
题目822: 693.0+761.0-67.0+238.0=
题目823: 754.0×462.0×876.0=
题目824: 403.0+726.0=
题目825: 791.0-480.0=
题目826: 924.0×757.0+552.0=
题目827: 772.0÷556.0=
题目828: 51.0×512.0+488.0=
题目829: 106.0+496.0×66.0=
题目830: 586.0-283.0=
题目831: 830.0÷529.0=
题目832: 611.0×97.0=
题目833: 889.0-708.0=
题目834: 51.0×60.0=
题目835: 448.0÷618.0=
题目836: 704.0÷426.0×768.0=
